Cluster 0: size = 19 (WT = 19)
Cluster 1: size = 22 (WT = 22)
Cluster 2: size = 18 (WT = 18)
Cluster 3: size = 17 (WT = 17)
ORF,plate,date,row,col,cluster
YOR202W,add4,4/26/12,1,1,2
YOR202W,add4,4/26/12,1,2,1
YOR202W,add4,4/26/12,1,3,1
YOR202W,add4,4/26/12,1,4,1
YOR202W,add4,4/26/12,1,5,1
YOR202W,add4,4/26/12,1,6,1
YOR202W,add4,4/26/12,1,7,1
YOR202W,add4,4/26/12,1,8,1
YOR202W,add4,4/26/12,1,9,1
YOR202W,add4,4/26/12,1,10,1
YOR202W,add4,4/26/12,1,11,1
YOR202W,add4,4/26/12,1,12,2
YOR202W,add4,4/26/12,1,13,1
YOR202W,add4,4/26/12,1,14,1
YOR202W,add4,4/26/12,1,15,1
YOR202W,add4,4/26/12,1,16,2
YOR202W,add4,4/26/12,1,17,0
YOR202W,add4,4/26/12,1,18,1
YOR202W,add4,4/26/12,1,19,1
YOR202W,add4,4/26/12,1,20,0
YOR202W,add4,4/26/12,1,21,3
YOR202W,add4,4/26/12,1,22,3
YOR202W,add4,4/26/12,1,23,3
YOR202W,add4,4/26/12,1,24,3
YOR202W,add4,4/26/12,2,1,2
YOR202W,add4,4/26/12,2,24,3
YOR202W,add4,4/26/12,3,1,0
YOR202W,add4,4/26/12,3,24,3
YOR202W,add4,4/26/12,4,1,2
YOR202W,add4,4/26/12,4,24,0
YOR202W,add4,4/26/12,5,1,3
YOR202W,add4,4/26/12,5,24,1
YOR202W,add4,4/26/12,6,1,2
YOR202W,add4,4/26/12,6,24,3
YOR202W,add4,4/26/12,7,1,2
YOR202W,add4,4/26/12,7,24,3
YOR202W,add4,4/26/12,8,1,2
YOR202W,add4,4/26/12,8,24,0
YOR202W,add4,4/26/12,9,1,2
YOR202W,add4,4/26/12,9,24,3
YOR202W,add4,4/26/12,10,1,1
YOR202W,add4,4/26/12,10,24,1
YOR202W,add4,4/26/12,11,1,1
YOR202W,add4,4/26/12,11,24,1
YOR202W,add4,4/26/12,12,1,2
YOR202W,add4,4/26/12,12,24,0
YOR202W,add4,4/26/12,13,1,1
YOR202W,add4,4/26/12,13,24,3
YOR202W,add4,4/26/12,14,1,2
YOR202W,add4,4/26/12,14,24,3
YOR202W,add4,4/26/12,15,1,1
YOR202W,add4,4/26/12,15,24,3
YOR202W,add4,4/26/12,16,1,0
YOR202W,add4,4/26/12,16,2,2
YOR202W,add4,4/26/12,16,3,2
YOR202W,add4,4/26/12,16,4,2
YOR202W,add4,4/26/12,16,5,2
YOR202W,add4,4/26/12,16,6,2
YOR202W,add4,4/26/12,16,7,0
YOR202W,add4,4/26/12,16,8,2
YOR202W,add4,4/26/12,16,9,0
YOR202W,add4,4/26/12,16,10,0
YOR202W,add4,4/26/12,16,11,0
YOR202W,add4,4/26/12,16,12,0
YOR202W,add4,4/26/12,16,13,0
YOR202W,add4,4/26/12,16,14,0
YOR202W,add4,4/26/12,16,15,0
YOR202W,add4,4/26/12,16,16,0
YOR202W,add4,4/26/12,16,17,3
YOR202W,add4,4/26/12,16,18,0
YOR202W,add4,4/26/12,16,19,0
YOR202W,add4,4/26/12,16,20,0
YOR202W,add4,4/26/12,16,21,3
YOR202W,add4,4/26/12,16,22,3
YOR202W,add4,4/26/12,16,23,2
YOR202W,add4,4/26/12,16,24,3
