Cluster 0: size = 24 (WT = 24)
Cluster 1: size = 22 (WT = 22)
Cluster 2: size = 30 (WT = 30)
ORF,plate,date,row,col,cluster
YOR202W,add4,4/26/12,1,1,0
YOR202W,add4,4/26/12,1,2,2
YOR202W,add4,4/26/12,1,3,2
YOR202W,add4,4/26/12,1,4,2
YOR202W,add4,4/26/12,1,5,2
YOR202W,add4,4/26/12,1,6,2
YOR202W,add4,4/26/12,1,7,2
YOR202W,add4,4/26/12,1,8,2
YOR202W,add4,4/26/12,1,9,2
YOR202W,add4,4/26/12,1,10,2
YOR202W,add4,4/26/12,1,11,2
YOR202W,add4,4/26/12,1,12,2
YOR202W,add4,4/26/12,1,13,0
YOR202W,add4,4/26/12,1,14,2
YOR202W,add4,4/26/12,1,15,2
YOR202W,add4,4/26/12,1,16,2
YOR202W,add4,4/26/12,1,17,0
YOR202W,add4,4/26/12,1,18,2
YOR202W,add4,4/26/12,1,19,1
YOR202W,add4,4/26/12,1,20,0
YOR202W,add4,4/26/12,1,21,1
YOR202W,add4,4/26/12,1,22,1
YOR202W,add4,4/26/12,1,23,1
YOR202W,add4,4/26/12,1,24,1
YOR202W,add4,4/26/12,2,1,0
YOR202W,add4,4/26/12,2,24,1
YOR202W,add4,4/26/12,3,1,0
YOR202W,add4,4/26/12,3,24,1
YOR202W,add4,4/26/12,4,1,2
YOR202W,add4,4/26/12,4,24,1
YOR202W,add4,4/26/12,5,1,1
YOR202W,add4,4/26/12,5,24,0
YOR202W,add4,4/26/12,6,1,2
YOR202W,add4,4/26/12,6,24,1
YOR202W,add4,4/26/12,7,1,2
YOR202W,add4,4/26/12,7,24,1
YOR202W,add4,4/26/12,8,1,2
YOR202W,add4,4/26/12,8,24,0
YOR202W,add4,4/26/12,9,1,2
YOR202W,add4,4/26/12,9,24,1
YOR202W,add4,4/26/12,10,1,0
YOR202W,add4,4/26/12,10,24,0
YOR202W,add4,4/26/12,11,1,2
YOR202W,add4,4/26/12,11,24,2
YOR202W,add4,4/26/12,12,1,2
YOR202W,add4,4/26/12,12,24,1
YOR202W,add4,4/26/12,13,1,2
YOR202W,add4,4/26/12,13,24,1
YOR202W,add4,4/26/12,14,1,2
YOR202W,add4,4/26/12,14,24,1
YOR202W,add4,4/26/12,15,1,0
YOR202W,add4,4/26/12,15,24,1
YOR202W,add4,4/26/12,16,1,0
YOR202W,add4,4/26/12,16,2,2
YOR202W,add4,4/26/12,16,3,2
YOR202W,add4,4/26/12,16,4,2
YOR202W,add4,4/26/12,16,5,2
YOR202W,add4,4/26/12,16,6,2
YOR202W,add4,4/26/12,16,7,0
YOR202W,add4,4/26/12,16,8,0
YOR202W,add4,4/26/12,16,9,0
YOR202W,add4,4/26/12,16,10,0
YOR202W,add4,4/26/12,16,11,0
YOR202W,add4,4/26/12,16,12,0
YOR202W,add4,4/26/12,16,13,0
YOR202W,add4,4/26/12,16,14,0
YOR202W,add4,4/26/12,16,15,0
YOR202W,add4,4/26/12,16,16,1
YOR202W,add4,4/26/12,16,17,1
YOR202W,add4,4/26/12,16,18,1
YOR202W,add4,4/26/12,16,19,0
YOR202W,add4,4/26/12,16,20,0
YOR202W,add4,4/26/12,16,21,1
YOR202W,add4,4/26/12,16,22,1
YOR202W,add4,4/26/12,16,23,0
YOR202W,add4,4/26/12,16,24,1
